tweets,labels,predictions
"Now I get it from #Fauci #COVID19 Hydroxychloroquine ➡️ cures ➡️ anecdotal

Social distancing ➡️   Fewer cases ➡️ proof what we are doing is working",Hydroxychloroquine  cures  anecdotal.Social distancing  Fewer cases  proof what we are doing is working.,Hydroxychloroquine  cures  anecdotal
"#Foxnews is treating the #Covid19 #pandemic likes its a #Church charity #bakesale to replace granny's porch .. saying ""most people are immune to it anyways, its only like the flu"" .. This crap is what Trump listens to and promotes .. #Desantis wants Church get togethers #Florida","""most people are immune to it.its only like the flu.",#Foxnews is treating the #Covid19 #pandemic likes its
Hey idiots he said LIGHT DISINFECTANT as in the use of Ultraviolet light treatment. But you go right ahead and do what you think he said. It might cure your TDS #disinfectant #idiots Covid 19 #COVIDIOTS,he said LIGHT DISINFECTANT as in the use of Ultraviolet light treatment.It might cure your TDS.,he said LIGHT DISINFECTANT as in the use of Ultraviole
"Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus. Mix 3 Parts water 1 part cleaning vinegar, boil it until your house is steamy. It kills bacteria in the air and brings it down to ground level we have also been told n95 masks work wash",Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus.It kills bacteria in the air and brings it down to ground level.,Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus.It
"Studies on #hydroxychloroquine are problematic, says prof. 'Evidence does not back it up': Guelph prof says drug touted as #coronavirus cure could do more harm than good",Studies on #hydroxychloroquine are problematic.drug touted as #coronavirus cure could do more harm than good.,drugs touted as #coronavirus cure could do more harm than good.
RT @CHIZMAGA: Hillary Clinton is immune from the Coronavirus because it only attacks people with a soul,Hillary Clinton is immune from the Coronavirus.it only attacks people with a soul.,Hillary Clinton is immune from the Coronavirus because it only attacks people with a soul.
"#COVID2019 can be carried by anyone: a US citizen, a Japanese tourist, an undocumented youth, or a Member of Congress. #Coronavirus doesnât care about your party, gender or religion. It is not Chinese, itâs a virus. Below are some myth busters from WHO","#COVID2019 can be carried by anyone.#Coronavirus doesnât care about your party, gender or religion. It is not Chinese, itâs a virus.",#COVID2019 can be carried by anyone.#Coronavirus doesnâ
Why are we still shut down? We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.  99% cure rate.  How is it different than treating flu with Tamiflu? Serious questions,We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.99% cure rate.,We have a treatment for #COVID19 - hydroxychloroq
"When do these women start pledging to get Constitutional equality for women? It is impossible to get equal pay without the #ERA. It is impossible to shift the rape culture without #ERA. WAKE UP 35 States allow police to rape someone in their custody & claim it was consensual. pic.twitter.com/TwxP6TKP1a — Rethinking Eve (@RethinkingEve) February 8, 2018",It is impossible to get equal pay without the #ERA.It is impossible to shift the rape culture without #ERA.States allow police to rape someone in their custody & claim it was consensual.,It is impossible to get equal pay without the #ERA.It is impossible to shift the
@DerrickByford @afneil Because there is no cure or vaccine for Covid-19. You can provide some protection from by the flu vaccine,there is no cure or vaccine for Covid-19.You can provide some protection from by the flu vaccine.,there is no cure or vaccine for Covid-19.
"@Lostinram @QueenDandelion2 Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies, it would do both: prevent AND cure.  This is why Boris Johnson lives to be stupid another day, and why The Hate Yam wears a smug 'duping-delight' smile as he says he will not take precautions. #Antibodies",Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies.it would do both: prevent AND cure.,"it is an infusion of plasma containing the appropriate #Covid19 antibodies, it would"
"If you have seen the breathing technique that has gone viral after being tweeted by @jk_rowling as a 'cure' for coronavirus, please note that @TheACPRC does not support it and it can be harmful in some cases #covid19 #breathingtechnique #coronavirus",@TheACPRC does not support it.it can be harmful in some cases #covid19.,@TheACPRC does not support it and it can be harmful in some cases.
"Does China think the world is dumb? You created a bio weapon in a LAB. You stopped people getting into Wuhan but they could leave, 2 missing weeks from your timeline, 5000 urns mysteriously showing up and the WHO in your back pocket. China Virus China Lied People Die #coronavirus",You created a bio weapon in a LAB.You stopped people getting into Wuhan but they could leave.2 missing weeks from your timeline.5000 urns mysteriously showing up.,You created a bio weapon in a LAB.You stopped people getting into Wuhan
@Breaking911 I call BS just search twitter for wuhan. This is bigger than they are reporting. How many are dying at home? People are dropping like flies. Wuhan is the epicenter for the worlds most dangerous pathogens. Is this a test for biowarfare,People are dropping like flies.Wuhan is the epicenter for the worlds most dangerous pathogens.,People are dropping like flies.Wuhan is the epicenter for the worlds
"@RahulGandhi 1Trump:Drink Lysol/Dettol to get cured frm Coronavirus Outbreak 
2Modi: BANG THALIS, LIT DIYAS &amp; MOMBATTI TO GET CURED FRM CORONA VIRUS

BHAKTS",":Drink Lysol/Dettol to get cured frm Coronavirus Outbreak.BANG THALIS, LIT DIYAS &amp; MOMBATTI TO GET CURED FRM CORONA VIRUS.",Drink Lysol/Dettol to get cured frm Coronavirus Outbreak
"NIMH Whistleblower: US &amp; China Collaborated to Make a Deadly #Coronavirus™ :  Peter Breggin MD

Confirmsg that US &amp; China Collaborated to Make a Deadly #Coronavirus

Evidence Dr Fauci knew it was being developed as a #bioweapon.

https://t.co/Mbwdl3RRHz

@99freemind",US &amp; China Collaborated to Make a Deadly #Coronavirus.Dr Fauci knew it was being developed as a #bioweapon.,US &amp; China Collaborated to Make a Deadly #Corona
i attended the amvca on the 14th of march at eko hotel even the after party i decided to isolate myself a day after when a rumor began early morning work outs daily in my room i obeyed the 14 days isolation period day 9 now love and light guys covid19out,i attended the amvca on the 14th of march at eko hotel.i decided to isolate myself a day after when a rumor began.,i attended the amvca on the 14th of march at eko hotel.i
"https://t.co/8bBhQHQZSQ
 
 Chinese state agitprop now claims you.S. withdrew from a bioweapons treaty in 2001 in order to develop and release SARS in China in 2003. Oh, and we also used invisible drones to kill millions of Chinese pigs. 
 
 Beijing is becoming Insanity Central",you.S. withdrew from a bioweapons treaty in 2001 in order to develop and release SARS in China in 2003.we also used invisible drones to kill millions of Chinese pigs.,Chinese state agitprop now claims you.S. withdrew from a bio
Chinese spies brought it back to the bio weapons lab in Wuhan. There they perfected the plan to bring down the US &amp; make a ”killing” collaborating with Bill Gates on a vaccine,Chinese spies brought it back to the bio weapons lab in Wuhan.they perfected the plan to bring down the US &amp; make a ”killing” collaborating with Bill Gates on a vaccine.,Chinese spies brought it back to the bio weapons lab in Wuhan.There they perfect
Why Chinese people were so immune to Chinese Virus19 #COVID19. Wondering how it only spread majorly in Wuhan and not in rest of China. China Lied People Died . China's low death rate stats since beginning was misleading. Why WHO is silent. #WHOLiedPeopleDied,it only spread majorly in Wuhan and not in rest of China.China's low death rate stats since beginning was misleading.,Chinese people were so immune to Chinese Virus19 #COVID19.
"@limbaugh  Herd Immunity in #California ... We experienced herd immunity in So Cal :Mom-age 93 had #COVID19 in mid December as did a friend-age 86,son-age30, grandson-9. We spent time together and no one else got sick. Mom has been gallivanting but now immune",We experienced herd immunity in So Cal.Mom has been gallivanting but now immune.,Herd Immunity in #California...We experienced herd immunity
"#coronavirus #coronoavirus 
A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus. Coronavirus Medicine Has Made From Herbal Medicines. Which Is Capable Of Curing",A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus.Coronavirus Medicine Has Made From Herbal Medicines. Which Is Capable Of Curing.,A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus.Cor
"Virus Linked To Convert Bio-Weapons Program. Chinese lab near seafood market suspected as origin of illness - https://t.co/OSDYa0iv3W @BillGertz

#frontpagestoday #USA The Washington Times #buyapaper",Virus Linked To Convert Bio-Weapons Program.Chinese lab near seafood market suspected as origin of illness.,Chinese lab near seafood market suspected as origin of illness.
